word,week1,week2,week3,week4,week1_count,week2_count,week3_count,week4_count,model_probability,model_probability_baseline
border,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
china,0.0769,0.0,0.0,0.0,1,0,0,0,0.0069,0.0077
tariff,0.0,0.0,0.0,0.1176,0,0,0,2,0.0423,0.047
immigration,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
crime,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
economy,0.0769,0.0,0.0,0.1765,1,0,0,3,0.0705,0.0783
inflation,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
energy,0.0769,0.0,0.0,0.1176,1,0,0,2,0.0492,0.0547
biden,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
military,0.0,0.0,0.0,0.1176,0,0,0,2,0.0423,0.047
communist,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
golden dome,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
newscum,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
thug,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
space force,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
epstein,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
nobel,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
tds,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
trump derangement syndrome,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
